item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
National,2021-05-28,1375413294.7346938,1215844166.0317209,1280108900.0480773,1317433347.434529,1349809765.829693,1378120110.7346938,1406712819.7213273,1440711510.1164916,1478608565.502943,1526241687.4376667
National,2021-05-29,1307429880.4081633,1143348487.8684556,1200195820.4154243,1247036305.0263655,1281855186.7684686,1311818232.4081633,1343072158.047858,1371688671.7899609,1413297224.3192697,1474554600.947871
National,2021-05-30,1247278885.7142856,1075675275.3786597,1141563966.2929757,1188929944.4549372,1220423629.1358156,1252071845.7142856,1280357374.2927558,1314082674.9736342,1352685393.0539634,1419458176.0499117
National,2021-05-31,1354356041.2653062,1194862491.3378434,1250188852.12971,1292700551.7610598,1324831281.9929585,1354791881.2653062,1385107812.4560213,1415960782.6879199,1452179938.3192694,1510973883.1111362
National,2021-06-01,1356782083.0612245,1187194501.6278353,1250774540.365539,1289048656.6992888,1323613558.6943083,1353746115.0612245,1389310099.346508,1424215349.4231603,1469898621.6752772,1523925764.4129813
National,2021-06-02,1362357045.4693878,1188066494.5666106,1250319870.7737026,1297655996.5768397,1332625070.3269615,1365200949.4693878,1398963200.5301814,1433629042.2803032,1471220268.1650732,1534091756.3721647
National,2021-06-03,1358855199.7142859,1183004031.0155902,1253999809.834927,1293694070.495207,1327541691.8371656,1361077599.7142859,1389453187.591406,1425358732.8517315,1465853633.5120118,1533379964.494614
National,2021-06-04,1384589736.2040815,1214884496.6482434,1276410171.957376,1318415400.7809215,1352921434.5310428,1385479592.2040815,1420205813.8771203,1450345315.7088745,1492477904.5324202,1556698171.8415527
National,2021-06-05,1306068651.3469388,1116095849.9951823,1185573190.9369676,1243542075.597248,1282949593.7555327,1312756587.3469388,1344014524.938345,1380929559.1782622,1419065807.7569096,1471671528.780328
National,2021-06-06,1255572643.1020408,1095796547.709468,1149327367.8349268,1185903203.6788807,1221947423.877982,1251180259.1020408,1282723878.3260999,1321284450.525201,1363529858.287522,1416890050.4946136
National,2021-06-07,1357644179.7142859,1198787615.4237537,1253182337.590029,1293561302.9033704,1328537914.2861452,1355909779.7142859,1383543213.1424263,1415261840.525201,1460270625.9201753,1525671304.004818
National,2021-06-08,1366639165.8367348,1194742924.1965098,1251544495.2771647,1294099238.8888328,1332316218.5272853,1364907645.8367348,1398694085.0645514,1438670616.703004,1479438096.314672,1534806771.395327
National,2021-06-09,1352666196.8163264,1188123047.0944688,1242111701.930226,1283266408.9704657,1318237713.5068772,1347953940.8163264,1382304408.1257758,1417270652.7438204,1458027663.7840598,1525067010.5381844
National,2021-06-10,1348610553.8367348,1185076304.0332444,1237908716.583287,1279574182.8072,1319019161.7925916,1350901369.8367348,1385856989.7992454,1419071564.866269,1457149579.0085495,1516022947.6402252
National,2021-06-11,1364783716.2857141,1199549512.849571,1255448990.8690014,1297682864.6031184,1331332351.0170813,1361487396.2857141,1392726537.5543475,1430419547.8866775,1468897961.7024271,1530489283.6402252
National,2021-06-12,1289487096.4081633,1123684721.869979,1183284397.7669606,1224928742.6847513,1258025890.8129997,1290296440.4081633,1322042897.9216943,1352486094.0499427,1397072902.9677334,1462175678.9463475
National,2021-06-13,1227210753.142857,1055050241.1352851,1120987511.807777,1163211782.929649,1198416110.1599383,1227918785.142857,1259427860.1257758,1296078651.3560653,1334592014.3963046,1399338693.0687966
National,2021-06-14,1318940954.244898,1156511980.52304,1217800033.8894095,1256962447.052098,1290493157.3027956,1323611162.244898,1351446611.1053677,1382056681.3560653,1424544790.5187535,1485886731.8851233
National,2021-06-15,1321369924.367347,1149241257.014853,1212891042.2674446,1257817027.0794752,1294828967.6046076,1326322500.367347,1361920157.211719,1396064389.6552186,1433655398.4672492,1501649375.7198408
National,2021-06-16,1307872723.510204,1136512313.4638326,1199776959.777649,1245863596.3447814,1279145239.400526,1319991315.510204,1354851155.5382495,1384170234.675627,1422365479.2427595,1482202541.5565755
National,2021-06-17,1322930842.4897962,1158189173.9944448,1212992791.7368324,1254625622.5896792,1293735274.1352198,1325835482.4897962,1358956686.7627394,1393176026.471545,1433310873.324392,1492687483.0667794
National,2021-06-18,1353573021.755102,1185162430.4842408,1243545574.7572405,1285290016.3855977,1318797764.91073,1351643165.755102,1381529394.6811068,1419309335.206239,1462588176.8345962,1527657209.107596
National,2021-06-19,1271606886.122449,1099276741.5454655,1158978190.4715264,1206037799.4468222,1237353847.0739954,1269393830.122449,1301032981.1709027,1339718436.7980757,1388168061.7733717,1446984006.6994326
